"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          36,      -1.802304815,      0.9066964894,      0.9400603493,       1.159155377,       3.568619544,      -5.419621814,                         5,     -0.8500921379,               5,      -2.355923727,       1064568.017,     0.01835278478,      0.4290890878,     0.06478684512,       0.767437889,    -0.04786413103,     -0.1631354485,    0.005530099519,     0.06478684512,      0.4294457917,       23.38005338,   3.855249844e-05
          0,           0,          37,      -1.809866756,      0.8874184939,      0.9101553818,       1.129134465,       3.559830136,      -5.429651376,                         5,     -0.7711765639,               5,      -2.372628646,       1064568.017,     0.01975230348,      0.4279255035,     0.06020569188,      0.7686335244,    -0.04855186806,     -0.1284564782,    0.006963743757,     0.06020569188,      0.4283245222,       21.66458732,   3.862210477e-05
          0,           0,          38,      -1.796007504,      0.8709085463,       0.889792114,       1.100719078,       3.569506755,      -5.416724982,                         5,     -0.7721381752,               5,      -2.408518569,       1064568.017,     0.02147893729,      0.4270312591,     0.06040249643,      0.7695534154,    -0.04907673425,    -0.09724828451,    0.008716313512,     0.06040249643,      0.4274822416,       19.88139605,    3.86786233e-05
          0,           0,          39,      -1.765386253,       0.856246752,      0.8795094016,       1.073669854,       3.594846056,      -5.414570237,                         5,     -0.7881098859,               5,      -2.361320461,       1064568.017,     0.02327207468,      0.4267106663,       0.065330838,      0.7706033878,    -0.04967268205,    -0.07402906455,     0.01051822541,       0.065330838,      0.4272153428,        18.3357381,   3.872879246e-05
          0,           0,          40,      -1.735540442,      0.8388550351,       0.870793593,       1.045354491,       3.621954072,       -5.42661516,                         5,     -0.8430496986,               5,      -2.386794723,       1064568.017,     0.02488000559,      0.4267578993,     0.07408908579,      0.7714181587,    -0.05013131785,    -0.05951163956,     0.01212402853,     0.07408908579,      0.4273105747,       17.15264483,   3.877499199e-05
          0,           0,          41,      -1.722203082,      0.8170572462,      0.8550172073,       1.012937888,       3.636864455,      -5.452102415,                         5,     -0.9721402888,               5,      -2.367359288,       1064568.017,     0.02614481168,      0.4270326143,     0.08626790795,      0.7719066551,    -0.05054876719,    -0.05396429534,     0.01338006625,     0.08626790795,      0.4276229399,       16.33335974,   3.881171491e-05
          0,           0,          42,      -1.732023585,      0.7933709196,      0.8261705691,      0.9748651269,       3.632003135,      -5.467477586,                         5,     -0.8933154942,               5,      -2.339545536,       1064568.017,     0.02692753752,      0.4274729648,     0.09920421402,      0.7720443529,    -0.05055977932,      -0.056369954,     0.01414929215,     0.09920421402,      0.4280864696,       15.87493712,   3.885842821e-05
          0,           0,          43,      -1.763168894,      0.7711751879,      0.7843293346,      0.9324229817,       3.605767972,      -5.449103019,                         5,     -0.8933890306,               5,      -2.388159772,       1064568.017,     0.02729514723,      0.4287021244,      0.1118900108,      0.7729397644,    -0.05065992397,    -0.06474190371,     0.01448002975,      0.1118900108,      0.4293260593,        15.7061664,   3.890678858e-05
          0,           0,          44,      -1.797613903,      0.7565590752,      0.7469288554,       0.892759329,        3.57301477,      -5.421342803,                         5,     -0.8680728925,               5,      -2.376893866,       1064568.017,     0.02724054833,      0.4305618324,      0.1226934106,      0.7744205373,    -0.05047070495,    -0.07721227099,     0.01436991608,      0.1226934106,      0.4311833073,       15.80591651,   3.896124299e-05
          0,           0,          45,      -1.811893102,      0.7484867601,      0.7302195499,      0.8642719951,       3.553081559,      -5.400112223,                         5,      -0.824886031,               5,      -2.357657257,       1064568.017,     0.02677392994,      0.4324932792,      0.1302679608,      0.7761007898,    -0.05022270603,    -0.09150497102,     0.01384582428,      0.1302679608,      0.4330999574,       16.15352249,   3.902877284e-05
          0,           0,          46,      -1.795583335,      0.7421831803,      0.7380466344,      0.8488452144,       3.560477053,      -5.398430501,                         5,     -0.8094188744,               5,      -2.384648951,       1064568.017,     0.02603681347,      0.4350570496,      0.1339021404,      0.7791130371,    -0.05021745271,     -0.1058392224,     0.01303247107,      0.1339021404,      0.4356405707,        16.7093047,   3.911359023e-05
          0,           0,          47,      -1.769426671,       0.731121326,      0.7530987923,      0.8388461544,       3.582316417,      -5.416356757,                         5,      -0.915932183,               5,      -2.349770528,       1064568.017,     0.02505574487,      0.4378197584,      0.1335339315,       0.782774075,    -0.05021501311,     -0.1194973369,     0.01196933335,      0.1335339315,      0.4383727481,       17.47382729,   3.921345532e-05
          0,           0,          48,      -1.753155898,      0.7130300114,      0.7585525972,      0.8247316344,       3.600328069,      -5.448006838,                         5,     -0.9241311111,               5,      -2.337222605,       1064568.017,     0.02402626324,      0.4411502988,      0.1295779703,      0.7875761735,    -0.05031459477,     -0.1309365617,     0.01084084624,      0.1295779703,      0.4416710581,       18.36116979,   3.932425231e-05
          0,           0,          49,      -1.762084166,      0.6874281059,      0.7400578578,       0.794720268,         3.5965615,      -5.459761225,                         5,      -0.933990657,               5,      -2.239922579,       1064568.017,     0.02295213571,      0.4443884566,      0.1230657157,       0.792772447,     -0.0504795555,     -0.1397798313,    0.009670492096,      0.1230657157,      0.4448756932,       19.36152967,   3.943791538e-05
          0,           0,          50,       -1.79493577,      0.6622071761,      0.6993868282,      0.7495869758,       3.570588189,      -5.462457659,                         5,     -0.9079820978,               5,      -2.260303374,       1064568.017,     0.02189930087,      0.4467427327,      0.1154128873,      0.7969077337,    -0.05053706187,     -0.1460855713,    0.008547817754,      0.1154128873,       0.447197477,       20.39986278,   3.954699675e-05
          0,           0,          51,      -1.846864023,      0.6409359075,      0.6416571365,      0.6942202259,       3.524843961,      -5.464120783,                         5,     -0.9138488683,               5,      -2.321830824,       1064568.017,     0.02090146527,       0.448566633,      0.1070226091,      0.8005626411,    -0.05051210491,     -0.1500798299,     0.00749595749,      0.1070226091,       0.448990764,       21.46101373,   3.964853689e-05
          0,           0,          52,      -1.904521533,      0.6259461839,      0.5809409262,      0.6380073054,       3.470083184,       -5.45239505,                         5,      -0.907393604,               5,      -2.294017585,       1064568.017,     0.02005620148,      0.4502665327,     0.09871423551,      0.8036647857,    -0.04988703455,     -0.1516262549,    0.006600304203,     0.09871423551,      0.4506646622,        22.4502398,   3.974391703e-05
          0,           0,          53,      -1.945963658,       0.618514274,      0.5439375005,      0.6000392025,       3.424040105,      -5.439577391,                         5,     -0.9459245798,               5,      -2.342191978,       1064568.017,     0.01943364033,      0.4513790771,     0.09188820598,      0.8058206459,    -0.04898315351,     -0.1506981273,    0.005944795239,     0.09188820598,      0.4517581179,       23.22668679,    3.98299751e-05
          0,           0,          54,      -1.951526491,      0.6156352042,      0.5446015025,      0.5903796287,       3.408489865,      -5.453488555,                         5,     -0.8501942632,               5,      -2.310852035,       1064568.017,     0.01907901042,      0.4516666229,     0.08741382555,      0.8064851951,    -0.04791956249,     -0.1473879769,    0.005581736119,     0.08741382555,      0.4520349446,       23.67348269,   3.990498157e-05
          0,           0,          55,      -1.936473449,      0.6070538008,      0.5593175162,       0.591266335,       3.416959063,      -5.476427826,                         5,     -0.9164156475,               5,      -2.267274032,       1064568.017,     0.01900987798,      0.4510084261,     0.08510170276,        0.80570875,    -0.04649753713,     -0.1415864003,     0.00553229118,     0.08510170276,      0.4513749768,       23.72495114,   3.997569038e-05
          0,           0,          56,      -1.924852834,      0.5950465074,      0.5693127649,      0.5882985008,       3.429280764,      -5.504252466,                         5,     -0.8600901528,               5,      -2.263739259,       1064568.017,     0.01918791098,      0.4497256876,     0.08485439606,       0.804070605,    -0.04521815359,      -0.134353715,    0.005748553019,     0.08485439606,      0.4500981273,        23.4379703,   4.005413092e-05
          0,           0,          57,      -1.935193379,       0.578589318,      0.5573935155,      0.5689044105,       3.424069895,      -5.534958175,                         5,      -0.962872855,               5,      -2.263989052,       1064568.017,     0.01961939608,      0.4478722989,     0.08651762566,      0.8016041057,    -0.04390667761,     -0.1256100327,     0.00623519605,     0.08651762566,      0.4482584513,       22.82803696,   4.015420371e-05
          0,           0,          58,      -1.964670691,       0.563107223,       0.528110785,      0.5351598784,       3.402519195,      -5.545049349,                         5,     -0.9374143587,               5,      -2.209385522,       1064568.017,     0.02026170715,      0.4461102907,     0.08935256243,       0.799715666,    -0.04318289205,     -0.1165111494,    0.006929841989,     0.08935256243,      0.4465164113,       22.01740887,   4.027264594e-05
          0,           0,          59,      -2.016412264,       0.547562783,      0.4805110749,      0.4827951218,       3.359186361,      -5.535302717,                         5,      -0.978453723,               5,      -2.229526179,       1064568.017,     0.02101498365,      0.4439547803,     0.09311364096,      0.7974240959,    -0.04275314164,     -0.1073633714,    0.007747155577,     0.09311364096,      0.4443843585,       21.12563053,   4.039924806e-05
          0,           0,          60,      -2.079730699,      0.5340814051,      0.4280968721,       0.428660814,       3.302540908,       -5.54064626,                         5,     -0.9431786755,               5,      -2.259343771,       1064568.017,     0.02178906409,      0.4416364274,     0.09732453275,      0.7951361486,    -0.04276555468,       -0.09908442,     0.00859012702,     0.09732453275,      0.4420901572,       20.26871946,   4.054728217e-05
          0,           0,          61,      -2.139076987,      0.5203385434,      0.3837190022,      0.3839449491,       3.244503369,      -5.537857233,                         5,     -0.9309333284,               5,      -2.251447157,       1064568.017,     0.02252340037,      0.4395530312,       0.101681175,      0.7929221155,    -0.04297377943,    -0.09223501284,    0.009386355185,       0.101681175,      0.4400296208,       19.51539395,   4.071712497e-05
          0,           0,          62,      -2.177028446,      0.5055328859,      0.3609258844,      0.3600762576,       3.201110659,       -5.53768078,                         5,     -0.9326229855,               5,      -2.249707539,       1064568.017,     0.02313128805,      0.4380376014,      0.1056638483,      0.7912879101,    -0.04347811563,    -0.08775487021,     0.01003922917,      0.1056638483,      0.4385330211,       18.93701727,   4.091049415e-05
          0,           0,          63,      -2.189343087,      0.4872783418,      0.3555033845,      0.3533272137,       3.181064399,      -5.539140994,                         5,     -0.9494667843,               5,      -2.266662268,       1064568.017,     0.02353612819,      0.4373327108,      0.1089309597,      0.7904357518,    -0.04420642533,    -0.08625190797,     0.01046493988,      0.1089309597,      0.4378405352,        18.5813362,   4.112893711e-05
          0,           0,          64,      -2.192713242,      0.4638604924,      0.3518963066,      0.3490764398,        3.17405142,      -5.540743135,                         5,     -0.9643121699,               5,      -2.266780339,       1064568.017,     0.02370188629,       0.437552782,      0.1112966876,      0.7904068536,    -0.04501427568,    -0.08781132612,     0.01062405174,      0.1112966876,      0.4380654585,       18.46067341,   4.137233683e-05
          0,           0,          65,      -2.204236395,      0.4354978854,      0.3382189615,      0.3364166495,       3.163955799,      -5.531990308,                         5,     -0.9927463394,               5,      -2.208140134,       1064568.017,     0.02361904747,       0.438582745,      0.1127524051,      0.7909769939,    -0.04570730136,    -0.09218160405,     0.01051049062,      0.1127524051,      0.4390924882,       18.56902763,   4.163756103e-05
          0,           0,          66,      -2.231216467,      0.4038115958,      0.3105817962,      0.3120646226,       3.141677561,      -5.521650313,                         5,      -1.037673252,               5,      -2.178202769,       1064568.017,     0.02330417004,      0.4402443698,      0.1133369842,      0.7919234746,    -0.04608605808,    -0.09884747014,     0.01014613017,      0.1133369842,      0.4407439683,       18.89122716,   4.191951385e-05
          0,           0,          67,      -2.274984427,      0.3699015548,          0.270121,      0.2786232705,       3.103883569,      -5.513157049,                         5,      -1.004168367,               5,      -2.251112138,       1064568.017,     0.02282724419,      0.4424268048,      0.1130904876,      0.7933508253,     -0.0461736672,     -0.1068688651,    0.009604239883,      0.1130904876,      0.4429111866,       19.38152504,   4.221365797e-05
          0,           0,          68,      -2.332625879,      0.3349638239,      0.2196819407,      0.2365241321,       3.051720338,      -5.500081837,                         5,      -1.004865904,               5,       -2.15241907,       1064568.017,     0.02222709019,      0.4448152354,      0.1121098723,       0.794943212,     -0.0458683492,     -0.1155759307,    0.008933024465,      0.1121098723,      0.4452806287,       20.01230173,   4.251707643e-05
          0,           0,          69,      -2.396550731,      0.2997746669,      0.1662787994,      0.1906079958,       2.991260778,      -5.489820466,                         5,       -1.02501233,               5,      -2.266084339,       1064568.017,     0.02152983483,      0.4468631667,      0.1105123908,      0.7959658682,    -0.04496807523,     -0.1240300021,    0.008174919818,      0.1105123908,      0.4473068234,       20.75553158,   4.282745956e-05
          0,           0,          70,      -2.460410111,      0.2649861163,      0.1153185204,      0.1482629591,       2.928144601,      -5.477831493,                         5,      -1.012875985,               5,      -2.222218505,       1064568.017,     0.02082717949,      0.4483584241,      0.1084168159,      0.7964429448,    -0.04364205727,     -0.1311504143,    0.007427922894,      0.1084168159,      0.4487804294,       21.52756326,   4.314112687e-05
          0,           0,          71,       -2.51466245,      0.2316666024,     0.07027998362,      0.1106304155,       2.871705627,      -5.467115846,                         5,     -0.9466827899,               5,      -2.336982711,       1064568.017,     0.02020317548,      0.4491128797,      0.1060747849,      0.7962720689,    -0.04212455256,     -0.1359660035,    0.006781665826,      0.1060747849,       0.449515913,       22.22981631,    4.34594935e-05
          0,           0,          72,      -2.557437632,      0.2004443421,     0.03064135362,      0.0766903289,       2.826108599,      -5.456628131,                         5,     -0.9319327674,               5,      -2.321283862,       1064568.017,     0.01970036979,      0.4489935182,      0.1036072361,      0.7954689076,     -0.0405096146,     -0.1382244752,    0.006282649078,      0.1036072361,      0.4493815887,       22.79112133,   4.384205441e-05
